mechanism,reserve_regime,reserve,n,allocation_probability,no_allocation_probability,analytical_allocation_probability,allocation_probability_absolute_error,expected_payment_unconditional,expected_payment_conditional,expected_winner_utility_unconditional,expected_winner_utility_conditional,probability_highest_value_platform_wins,efficiency_conditional_on_allocation
first_price,locked,0.5,100000,0.75193,0.24807,0.75,0.0019299999999999873,0.41787773401680783,0.5557402072224911,0.16743130497902312,0.22266873908345605,0.75193,1.0
first_price,portable,0.2,100000,0.96004,0.03996,0.96,4.0000000000040004e-05,0.36320034912085075,0.3783179337536464,0.2993495199428589,0.31180942454778854,0.96004,1.0
second_price,locked,0.5,100000,0.75193,0.24807,0.75,0.0019299999999999873,0.418175100367845,0.556135678012375,0.16713393862798587,0.22227326829357238,0.75193,1.0
second_price,portable,0.2,100000,0.96004,0.03996,0.96,4.0000000000040004e-05,0.36413717136125284,0.3792937495950719,0.29841269770245693,0.31083360870636323,0.96004,1.0
